Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
 Ballard et al. 2002,195_1,1609,0.068,15,0.546,7.23,10.15,0.87,42.1,14.52,153.4,53.7,228.6,46,408,70.1
 Ballard et al. 2002,195_10,1735,0.074,15,0.532,6.95,10.38,0.95,47.4,15.94,164.7,57.2,247,50.1,445,76.5
 Ballard et al. 2002,195_2,1563,0.036,21,0.469,7.14,10.81,0.68,45.2,14.91,153.4,52.1,222.6,46.2,412,69.7
 Ballard et al. 2002,195_4,1545,0.062,20,0.574,7.82,11.32,0.82,46.1,15.04,153.9,51.9,222,45.8,412,69.1
 Ballard et al. 2002,195_5,988,0.003,15,0.089,2.07,4.21,0.35,23.8,8.52,92,32.7,142.6,30.9,286,49.5
 Ballard et al. 2002,195_6,1596,0.068,21,0.623,8.55,11.33,0.69,45.9,15.04,156.4,53.4,228.1,47.4,425,71.3
 Ballard et al. 2002,195_7,2068,0.012,49,0.149,3.18,6.6,0.25,35,14.59,173.9,66.1,314.2,72,684,116.9
 Ballard et al. 2002,195_8,1809,0.105,18,0.646,8.51,11.92,0.73,48,15.53,165.9,58.9,258.2,52,464,78.7
 Ballard et al. 2002,195_9,1444,0.034,19,0.424,6.2,9.91,0.72,42.2,13.9,142.7,48.4,208.7,43.3,389,65.4
 Ballard et al. 2002,174_1,1056,0.044,11,0.403,5.53,7.11,1.17,29.8,9.39,99.4,33.7,151.2,32.5,284,49.6
 Ballard et al. 2002,174_10,469,0.005,8,0.035,0.74,1.83,0.36,9.8,3.48,42.2,14.7,69.4,15.6,156,27.3
 Ballard et al. 2002,174_2,795,0.055,10,0.312,4.55,6.51,0.8,24.2,7.6,79.6,25.7,110.7,23.5,213,35.3
 Ballard et al. 2002,174_4,386,0.011,7,0.027,0.73,1.7,0.27,8,2.9,33.9,12.2,58.9,13.3,131,23.2
 Ballard et al. 2002,174_5,413,0.007,9,0.042,0.56,1.75,0.26,8,3.16,35.8,13.1,61.9,14.3,136,24.3
 Ballard et al. 2002,174_6,322,0.007,8,0.025,0.75,1.65,0.28,7.2,2.42,28.9,10.2,48.6,11.8,128,27.5
 Ballard et al. 2002,174_7,384,0.004,9,0.028,0.64,1.23,0.18,7.3,3.07,33.5,12.1,57.2,12.8,128,22.6
 Ballard et al. 2002,174_9,423,0.003,9,0.035,0.52,1.42,0.2,8.8,3.24,37,13.2,63.8,14.6,145,25.6
 Ballard et al. 2002,131_1,905,0.018,15,0.182,2.41,4.04,0.7,20.5,7.47,82.2,29.2,133.2,29.6,279,50.1
 Ballard et al. 2002,131_10,619,0.012,12,0.047,1.04,2.23,0.44,12.9,4.77,56.4,20,93,20.6,199,35.1
 Ballard et al. 2002,131_3,2067,0.072,18,0.443,6.61,9.92,1.66,48.3,17,194.7,68.5,310.5,64.7,589,103.1
 Ballard et al. 2002,131_6,853,0.005,12,0.12,2.2,4.7,0.84,21.7,7.6,80.2,27.4,124,27,247,43
 Ballard et al. 2002,131_7,580,0.005,9,0.085,1.52,3.05,0.51,14.4,4.86,54.6,18.4,85.7,19.2,186,33.1
 Ballard et al. 2002,131_8,1724,0.032,21,0.344,4.97,8.76,1.29,41.4,14.31,161.2,55.8,252.8,54.2,509,88
 Ballard et al. 2002,131_9,746,0.007,12,0.117,1.87,3.11,0.62,16.1,5.86,67.1,23.8,113.8,25.4,244,42.8
 Ballard et al. 2002,163_1,653,0.008,13,0.093,1.28,2.68,0.32,13.6,4.99,59.5,20.6,94.7,21.6,204,36.3
 Ballard et al. 2002,163_10,244,0.006,9,0.003,0.26,0.83,0.17,4.9,1.7,21.1,7.6,37.2,8.9,91,17.1
 Ballard et al. 2002,163_2,526,0.004,10,0.038,0.94,2.09,0.57,11.7,4.27,49.2,16.9,77.9,17.4,170,32.1
 Ballard et al. 2002,163_3,894,0.016,12,0.186,2.7,4.25,1.03,21.5,7.18,82.7,29.3,135.3,30.2,286,53.3
 Ballard et al. 2002,163_4,375,0.006,11,0.013,0.6,1.44,0.34,7.6,2.88,32.7,11.7,55.8,12.9,130,23.9
 Ballard et al. 2002,163_8,1617,0.048,17,0.411,5.5,8.52,1.92,36.7,12.58,145.6,53,243.3,52.6,492,91.2
 Ballard et al. 2002,521_02,1515,0.006,28,0.204,3.54,6.11,0.48,32.6,11.6,130.3,47.2,215.5,43.9,386,72.9
 Ballard et al. 2002,521_03,1226,0.011,21,0.172,2.68,5.34,0.48,27.1,9.53,107.2,38.9,175,35.6,308,57.3
 Ballard et al. 2002,521_04,2033,0.037,19,0.425,5.95,11.9,1.3,60.2,19.45,206.7,69.1,286.8,55.2,454,79.1
 Ballard et al. 2002,521_05,1794,0.009,25,0.156,2.76,5.44,0.51,30.6,11.48,139.4,55.3,269.7,57.7,525,102.8
 Ballard et al. 2002,521_06,1849,0.021,25,0.183,3.31,6.58,0.57,33.9,12.81,150.4,57.7,276.5,57.8,517,97.4
 Ballard et al. 2002,521_07,1498,0.024,15,0.211,3.49,6.43,0.54,35.7,12.37,137.3,49,212.6,42.4,374,68.9
 Ballard et al. 2002,521_08,1068,0.106,18,0.136,1.8,3.57,0.31,19.6,7.5,87.5,33.3,156,33,308,59.7
 Ballard et al. 2002,521_09,2249,0.047,20,0.485,6.88,10.76,0.83,54,18.89,208.6,72.4,314.1,61.5,525,93.7
 Ballard et al. 2002,521_10,2275,0.029,25,0.413,6.68,11.47,0.79,50.3,17.93,202,73.2,327.4,64.8,561,102.4
 Ballard et al. 2002,610_01,1436,0.044,19,0.104,1.59,3.29,2.01,23.4,9.21,112.4,43.9,210.8,45.4,449,92.7
 Ballard et al. 2002,610_02,557,0.062,36,0.05,0.76,1.54,0.75,9.8,3.44,39.9,15.2,78.6,19,212,49.2
 Ballard et al. 2002,610_04,611,0.014,33,0.046,0.52,1.23,0.54,8.1,3.12,39,16.3,88.4,22.5,258,62.5
 Ballard et al. 2002,610_05,676,0.496,35,0.098,0.94,1.62,0.68,10,3.66,44.6,18.3,97.7,24.6,278,66.3
 Ballard et al. 2002,610_06,813,0.135,50,0.101,1.22,2.67,0.99,15.8,5.55,64.8,23.9,114.8,26.9,274,59
 Ballard et al. 2002,610_07,968,0.029,42,0.06,1.06,2.53,0.98,14.7,5.42,64.9,26.7,137,33.8,371,86.4
 Ballard et al. 2002,610_08,859,0.018,40,0.017,0.61,1.7,0.69,11.2,4.45,56.8,23.6,123.6,31.4,353,83.7
 Ballard et al. 2002,610_09,735,0.06,21,0.024,0.55,1.41,0.72,9.2,3.7,46.9,19.9,106,26.9,307,72.5
 Ballard et al. 2002,610_10,1595,0.016,53,0.139,2.36,5.81,3.29,38.3,12.88,139.7,50.2,222.5,48.4,467,93.7
 Ballard et al. 2002,609_01,747,0.03,27,0.065,0.98,2.11,0.84,11.5,4.23,49.5,19.7,103.4,26.4,296,69.4
 Ballard et al. 2002,609_02,515,0.162,25,0.073,0.55,1.04,0.4,5.6,2.21,29.2,12.8,74.3,20.3,248,62.1
 Ballard et al. 2002,609_03,1635,0.017,73,0.085,1.96,5.03,1.88,32.9,11.33,127,47.2,229.4,51.9,530,112
 Ballard et al. 2002,609_05,1441,0.044,63,0.052,1.03,3.28,1.27,23.9,9.08,107.7,42.2,208.2,48.2,492,104.7
 Ballard et al. 2002,609_06,823,0.021,37,0.048,0.72,1.67,0.63,11.6,4.21,52.5,21.7,117.3,28.3,311,70.8
 Ballard et al. 2002,609_07,1522,0.019,85,0.08,1.61,3.29,0.86,22.2,8.39,99.8,40.5,211.1,52.2,550,127
 Ballard et al. 2002,609_08,607,0.076,33,0.063,0.53,1.49,0.57,9.6,3.48,41.2,16.7,87,21.6,233,54.3
